id;jumlah_barang_dipesan;jumlah_barang_keluar;batch;tgl_expired;keterangan;harga_jual;status_barang_keluar;jual_id;barang_id;created_at;updated_at
4155;48;48;M08240701;2029-06-01;NULL;6146;LENGKAP;650;145;NULL;NULL
4156;20;20;F252I05;2027-12-03;NULL;8804;LENGKAP;651;153;NULL;NULL
4157;24;24;S2360201;2027-07-01;NULL;5550;LENGKAP;651;169;NULL;NULL
4158;5;5;F1460421;2028-02-28;NULL;70000;LENGKAP;651;159;NULL;NULL
4159;5;5;F3060124;2027-09-01;NULL;135000;LENGKAP;651;892;NULL;NULL
4160;12;12;S23250142;2027-09-01;NULL;5862;LENGKAP;651;164;NULL;NULL
4161;30;30;C0360063;2027-08-30;NULL;26650;LENGKAP;651;1185;NULL;NULL
4162;10;10;T.35250005;2027-07-31;NULL;10499;LENGKAP;651;174;NULL;NULL
4164;1;1;E25D0140A;2028-04-30;NULL;450000;LENGKAP;651;917;NULL;NULL
4166;5;5;A04820GC;2028-07-31;NULL;60000;LENGKAP;651;788;NULL;NULL
4168;1;1;820825002;2027-02-28;NULL;154375;LENGKAP;652;1011;NULL;NULL
4170;5;5;5A04;2028-09-30;NULL;69612;LENGKAP;652;227;NULL;NULL
4171;5;5;5408;2028-03-30;NULL;99108;LENGKAP;652;228;NULL;NULL
4172;5;5;A3309;2028-08-30;NULL;72358;LENGKAP;652;229;NULL;NULL
4175;24;24;UD00L;2027-09-01;NULL;22000;LENGKAP;652;235;NULL;NULL
4176;6;6;UF00J;2027-10-30;NULL;12000;LENGKAP;652;234;NULL;NULL
4177;5;5;GL02D;2029-07-31;NULL;128452;LENGKAP;652;1022;NULL;NULL
4178;15;15;27502510;2027-10-30;NULL;25000;LENGKAP;652;1270;NULL;NULL
4179;12;12;C004N028;2029-10-31;NULL;94500;LENGKAP;652;258;NULL;NULL
4180;24;24;507164;2029-07-31;NULL;8000;LENGKAP;653;259;NULL;NULL
4181;2;2;HX3674;2027-12-31;NULL;415750;LENGKAP;653;1105;NULL;NULL
4182;2;2;12P0621;2027-04-09;NULL;81950;LENGKAP;653;1108;NULL;NULL
4184;48;48;KCBPCA54182;2027-07-31;NULL;28000;LENGKAP;653;264;NULL;NULL
4185;48;48;KCMYCD52457;2027-03-31;NULL;18000;LENGKAP;653;1244;NULL;NULL
4186;5;5;KTMYCJ51301;2027-01-31;NULL;225000;LENGKAP;653;1120;NULL;NULL
4187;5;5;KTNLGG51163;2027-02-01;NULL;110000;LENGKAP;653;260;NULL;NULL
4188;8;8;KTPRGR44592;2027-08-31;NULL;25842;LENGKAP;653;643;NULL;NULL
